,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Company,Model
0,Mumbai,2010,72000,CNG,Manual,3,26.6,998.0,58.16,5.0,1.75,maruti,maruti wagon
1,Pune,2015,41000,Diesel,Manual,3,19.67,1582.0,126.2,5.0,12.5,hyundai,hyundai creta
2,Chennai,2011,46000,Petrol,Manual,3,18.2,1199.0,88.7,5.0,4.5,honda,honda jazz
3,Chennai,2012,87000,Diesel,Manual,3,20.77,1248.0,88.76,7.0,6.0,maruti,maruti ertiga
4,Coimbatore,2013,40670,Diesel,Automatic,2,15.2,1968.0,140.8,5.0,17.74,audi,audi a4
6,Jaipur,2013,86999,Diesel,Manual,3,23.08,1461.0,63.1,5.0,3.5,nissan,nissan micra
7,Mumbai,2016,36000,Diesel,Automatic,3,11.36,2755.0,171.5,8.0,17.5,toyota,toyota innova
8,Pune,2013,64430,Diesel,Manual,3,20.54,1598.0,103.6,5.0,5.2,volkswagen,volkswagen vento
9,Chennai,2012,65932,Diesel,Manual,2,22.3,1248.0,74.0,5.0,1.95,tata,tata indica
10,Kochi,2018,25692,Petrol,Manual,3,21.56,1462.0,103.25,5.0,9.95,maruti,maruti ciaz
11,Kolkata,2012,60000,Petrol,Automatic,3,16.8,1497.0,116.3,5.0,4.49,honda,honda city
12,Jaipur,2015,64424,Diesel,Manual,3,25.2,1248.0,74.0,5.0,5.6,maruti,maruti swift
15,Delhi,2014,110000,Diesel,Manual,3,13.5,2477.0,175.56,7.0,15.0,mitsubishi,mitsubishi pajero
16,Kochi,2016,58950,Diesel,Manual,3,25.8,1498.0,98.6,5.0,5.4,honda,honda amaze
17,Jaipur,2017,25000,Diesel,Manual,3,28.4,1248.0,74.0,5.0,5.99,maruti,maruti swift
18,Kochi,2014,77469,Diesel,Manual,3,20.45,1461.0,83.8,5.0,6.34,renault,renault duster
20,Kochi,2014,32982,Diesel,Automatic,3,22.69,1995.0,190.0,5.0,18.55,bmw,bmw 3
22,Mumbai,2015,55985,Petrol,Automatic,3,13.53,1984.0,177.01,5.0,23.5,audi,audi a6
23,Kolkata,2010,45807,Petrol,Manual,3,18.5,1197.0,80.0,5.0,1.87,hyundai,hyundai i20
24,Kolkata,2010,33000,Petrol,Automatic,3,14.4,1598.0,103.6,5.0,2.85,volkswagen,volkswagen vento
25,Mumbai,2012,51920,Petrol,Manual,3,16.8,1497.0,116.3,5.0,4.25,honda,honda city
26,Hyderabad,2012,54000,Diesel,Manual,3,23.08,1461.0,63.1,5.0,4.25,nissan,nissan micra
27,Hyderabad,2013,54000,Petrol,Manual,2,20.92,998.0,67.1,5.0,2.75,maruti,maruti alto
30,Bangalore,2013,62000,Diesel,Manual,3,19.01,1461.0,108.45,5.0,7.75,renault,renault duster
31,Delhi,2012,87615,Petrol,Manual,3,14.53,1798.0,138.1,5.0,6.75,toyota,toyota corolla
32,Bangalore,2013,72000,Diesel,Automatic,2,11.18,2696.0,184.0,7.0,12.5,mahindra,mahindra ssangyong
33,Kolkata,2010,35000,Diesel,Automatic,3,12.4,2698.0,179.5,5.0,11.5,audi,audi a6
34,Coimbatore,2014,55431,Petrol,Manual,2,16.09,1598.0,103.5,5.0,6.98,volkswagen,volkswagen vento
35,Jaipur,2009,83816,Petrol,Manual,2,14.0,1061.0,64.0,5.0,1.85,maruti,maruti wagon
36,Kochi,2018,50075,Diesel,Manual,3,24.3,1248.0,88.5,5.0,8.63,maruti,maruti vitara
37,Delhi,2017,52000,Petrol,Manual,3,18.15,1198.0,82.0,5.0,4.85,mahindra,mahindra kuv
39,Chennai,2013,62000,Diesel,Manual,3,22.07,1199.0,73.9,5.0,5.0,volkswagen,volkswagen polo
40,Delhi,2008,90000,Petrol,Manual,2,19.7,796.0,46.3,5.0,1.25,maruti,maruti alto
42,Coimbatore,2017,22033,Diesel,Manual,3,25.32,1198.0,77.0,6.0,5.58,mahindra,mahindra kuv
43,Kochi,2014,35487,Petrol,Manual,3,18.5,1197.0,82.9,5.0,4.74,hyundai,hyundai i20
44,Bangalore,2014,46374,Petrol,Automatic,3,14.62,1999.0,149.92,5.0,8.85,hyundai,hyundai elantra
45,Mumbai,2016,52001,Petrol,Automatic,3,14.28,1798.0,138.03,5.0,10.11,toyota,toyota corolla
46,Ahmedabad,2008,58005,Diesel,Manual,2,14.9,1991.0,112.2,5.0,4.25,hyundai,hyundai elantra
47,Bangalore,2012,70704,Petrol,Manual,3,11.25,2694.0,163.7,7.0,10.95,toyota,toyota innova
48,Jaipur,2014,75000,Diesel,Manual,3,24.4,1120.0,71.0,5.0,3.85,hyundai,hyundai xcent
50,Kochi,2015,13648,Diesel,Automatic,3,17.11,1968.0,174.33,5.0,21.43,audi,audi a4
51,Delhi,2014,52000,Diesel,Manual,3,22.9,1248.0,74.0,5.0,4.25,maruti,maruti swift
52,Kolkata,2014,53000,Diesel,Manual,3,17.8,1248.0,75.0,5.0,3.3,maruti,maruti swift
53,Delhi,2013,65650,Diesel,Manual,3,28.4,1248.0,74.0,5.0,3.85,maruti,maruti swift
54,Chennai,2015,54000,Petrol,Manual,1,18.9,1197.0,82.0,5.0,3.6,hyundai,hyundai grand
